Dataset,Window,Model,Method,Deletion-AUC ↓,ROAD-AUC ↑,n_samples
MI,0-7,shallowconvnet,Grad-CAM++,0.752 ± 0.270,0.090 ± 0.166,74
MI,0-7,shallowconvnet,Integrated Gradients,0.291 ± 0.400,0.431 ± 0.466,74
MI,0-7,shallowconvnet,KernelSHAP,0.543 ± 0.499,0.000 ± 0.000,74
MI,0-7,shallowconvnet,LIME,0.548 ± 0.495,0.009 ± 0.059,74
MI,0-7,shallowconvnet,Occlusion,0.470 ± 0.389,0.443 ± 0.427,74
MI,0-7,shallowconvnet,STF-KernelSHAP,0.420 ± 0.378,0.460 ± 0.369,74
MI,2.5-5,shallowconvnet,Grad-CAM++,0.789 ± 0.265,0.063 ± 0.108,75
MI,2.5-5,shallowconvnet,Integrated Gradients,0.207 ± 0.231,0.597 ± 0.285,75
MI,2.5-5,shallowconvnet,KernelSHAP,0.602 ± 0.490,-0.000 ± 0.002,75
MI,2.5-5,shallowconvnet,LIME,0.610 ± 0.478,0.007 ± 0.059,75
MI,2.5-5,shallowconvnet,Occlusion,0.310 ± 0.212,0.639 ± 0.202,75
MI,2.5-5,shallowconvnet,STF-KernelSHAP,0.624 ± 0.339,0.262 ± 0.273,75
TDAH,TDAH,tgarnet,Grad-CAM++,0.729 ± 0.224,-0.286 ± 0.428,1722
TDAH,TDAH,tgarnet,Integrated Gradients,0.107 ± 0.084,0.881 ± 0.083,1722
TDAH,TDAH,tgarnet,KernelSHAP,0.690 ± 0.337,-0.025 ± 0.277,1722
TDAH,TDAH,tgarnet,LIME,0.721 ± 0.310,-0.039 ± 0.293,1722
TDAH,TDAH,tgarnet,Occlusion,0.496 ± 0.285,0.326 ± 0.361,1722
TDAH,TDAH,tgarnet,STF-KernelSHAP,0.646 ± 0.317,0.331 ± 0.295,1722
